Particular Baptist Devotional - 365-Day Schedule
====================================================================================================

Day   1 | Jan 1      | Catechism  | Q&A #1               | The Baptist Catechism (Keach's)
Day 241 | Aug 29     | 2LBCF      | Ch. 17 §2           | Of Perseverance of the Saints
Day 242 | Aug 30     | Catechism  | Q&A #70              | The Baptist Catechism (Keach's)
Day 243 | Aug 31     | 2LBCF      | Ch. 17 §3           | Of Perseverance of the Saints
Day 244 | Sep 1      | 2LBCF      | Ch. 18 §1           | Of Assurance of Grace
Day 245 | Sep 2      | Review     | Weekly review & reflection | Journal your thoughts on this week's theme
Day 246 | Sep 3      | Catechism  | Q&A #71              | The Baptist Catechism (Keach's)
Day 247 | Sep 4      | 2LBCF      | Ch. 18 §2           | Of Assurance of Grace
Day 248 | Sep 5      | 2LBCF      | Ch. 18 §3           | Of Assurance of Grace
Day 249 | Sep 6      | Catechism  | Q&A #72              | The Baptist Catechism (Keach's)
Day 250 | Sep 7      | 2LBCF      | Ch. 18 §4           | Of Assurance of Grace
Day 251 | Sep 8      | 2LBCF      | Ch. 19 §1           | Of the Law of God
Day 252 | Sep 9      | Review     | Weekly review & reflection | Revisit your favourite reading from this week
Day 253 | Sep 10     | Catechism  | Q&A #73              | The Baptist Catechism (Keach's)
Day 254 | Sep 11     | 2LBCF      | Ch. 19 §2           | Of the Law of God
Day 255 | Sep 12     | 2LBCF      | Ch. 19 §3           | Of the Law of God
Day 256 | Sep 13     | Catechism  | Q&A #74              | The Baptist Catechism (Keach's)
Day 257 | Sep 14     | 2LBCF      | Ch. 19 §4           | Of the Law of God
Day 258 | Sep 15     | 2LBCF      | Ch. 19 §5           | Of the Law of God
Day 259 | Sep 16     | Review     | Weekly review & reflection | Meditate on a Scripture tied to this week's doctrine
Day 260 | Sep 17     | Catechism  | Q&A #75              | The Baptist Catechism (Keach's)
Day 261 | Sep 18     | 2LBCF      | Ch. 19 §6           | Of the Law of God
Day 262 | Sep 19     | 2LBCF      | Ch. 19 §7           | Of the Law of God
Day 263 | Sep 20     | Catechism  | Q&A #76              | The Baptist Catechism (Keach's)
Day 264 | Sep 21     | 2LBCF      | Ch. 20 §1           | Of the Gospel
Day 265 | Sep 22     | 2LBCF      | Ch. 20 §2           | Of the Gospel
Day 266 | Sep 23     | Review     | Weekly review & reflection | Write a short reflection — what stood out most?
Day 267 | Sep 24     | Catechism  | Q&A #77              | The Baptist Catechism (Keach's)
Day 268 | Sep 25     | 2LBCF      | Ch. 20 §3           | Of the Gospel
Day 269 | Sep 26     | 2LBCF      | Ch. 20 §4           | Of the Gospel
Day 270 | Sep 27     | Catechism  | Q&A #78              | The Baptist Catechism (Keach's)
Day 271 | Sep 28     | 2LBCF      | Ch. 21 §1           | Of Christian Liberty
Day 272 | Sep 29     | 2LBCF      | Ch. 21 §2           | Of Christian Liberty
Day 273 | Sep 30     | Review     | Weekly review & reflection | Discuss this week's readings with a friend or family
Day 274 | Oct 1      | Catechism  | Q&A #79              | The Baptist Catechism (Keach's)
Day 275 | Oct 2      | 2LBCF      | Ch. 21 §3           | Of Christian Liberty
Day 276 | Oct 3      | 2LBCF      | Ch. 22 §1           | Of Religious Worship & Sabbath
Day 277 | Oct 4      | Catechism  | Q&A #80              | The Baptist Catechism (Keach's)
Day 278 | Oct 5      | 2LBCF      | Ch. 22 §2           | Of Religious Worship & Sabbath
Day 279 | Oct 6      | 2LBCF      | Ch. 22 §3           | Of Religious Worship & Sabbath
Day 280 | Oct 7      | Review     | Weekly review & reflection | Pray through a doctrine you studied this week
Day 281 | Oct 8      | Catechism  | Q&A #81              | The Baptist Catechism (Keach's)
Day 282 | Oct 9      | 2LBCF      | Ch. 22 §4           | Of Religious Worship & Sabbath
Day 283 | Oct 10     | 2LBCF      | Ch. 22 §5           | Of Religious Worship & Sabbath
Day 284 | Oct 11     | Catechism  | Q&A #82              | The Baptist Catechism (Keach's)
Day 285 | Oct 12     | 2LBCF      | Ch. 22 §6           | Of Religious Worship & Sabbath
Day 286 | Oct 13     | 2LBCF      | Ch. 22 §7           | Of Religious Worship & Sabbath
Day 287 | Oct 14     | Review     | Weekly review & reflection | Read a related passage from the Psalms
Day 288 | Oct 15     | Catechism  | Q&A #83              | The Baptist Catechism (Keach's)
Day 289 | Oct 16     | 2LBCF      | Ch. 22 §8           | Of Religious Worship & Sabbath
Day 290 | Oct 17     | 2LBCF      | Ch. 23 §1           | Of Lawful Oaths and Vows
Day 291 | Oct 18     | Catechism  | Q&A #84              | The Baptist Catechism (Keach's)
Day 292 | Oct 19     | 2LBCF      | Ch. 23 §2           | Of Lawful Oaths and Vows
Day 293 | Oct 20     | 2LBCF      | Ch. 23 §3           | Of Lawful Oaths and Vows
Day 294 | Oct 21     | Review     | Weekly review & reflection | Journal your thoughts on this week's theme
Day 295 | Oct 22     | Catechism  | Q&A #85              | The Baptist Catechism (Keach's)
Day 296 | Oct 23     | 2LBCF      | Ch. 23 §4           | Of Lawful Oaths and Vows
Day 297 | Oct 24     | 2LBCF      | Ch. 23 §5           | Of Lawful Oaths and Vows
Day 298 | Oct 25     | Catechism  | Q&A #86              | The Baptist Catechism (Keach's)
Day 299 | Oct 26     | 2LBCF      | Ch. 24 §1           | Of the Civil Magistrate
Day 300 | Oct 27     | 2LBCF      | Ch. 24 §2           | Of the Civil Magistrate
Day 301 | Oct 28     | Review     | Weekly review & reflection | Revisit your favourite reading from this week
Day 302 | Oct 29     | Catechism  | Q&A #87              | The Baptist Catechism (Keach's)
Day 303 | Oct 30     | 2LBCF      | Ch. 24 §3           | Of the Civil Magistrate
Day 304 | Oct 31     | 2LBCF      | Ch. 24 §4           | Of the Civil Magistrate
Day 305 | Nov 1      | Catechism  | Q&A #88              | The Baptist Catechism (Keach's)
Day 306 | Nov 2      | 2LBCF      | Ch. 25 §1           | Of Marriage
Day 307 | Nov 3      | 2LBCF      | Ch. 25 §2           | Of Marriage
Day 308 | Nov 4      | Review     | Weekly review & reflection | Meditate on a Scripture tied to this week's doctrine
Day 309 | Nov 5      | Catechism  | Q&A #89              | The Baptist Catechism (Keach's)
Day 310 | Nov 6      | 2LBCF      | Ch. 25 §3           | Of Marriage
Day 311 | Nov 7      | 2LBCF      | Ch. 26 §1           | Of the Church
Day 312 | Nov 8      | Catechism  | Q&A #90              | The Baptist Catechism (Keach's)
Day 313 | Nov 9      | 2LBCF      | Ch. 26 §2           | Of the Church
Day 314 | Nov 10     | 2LBCF      | Ch. 26 §3           | Of the Church
Day 315 | Nov 11     | Review     | Weekly review & reflection | Write a short reflection — what stood out most?
Day 316 | Nov 12     | Catechism  | Q&A #91              | The Baptist Catechism (Keach's)
Day 317 | Nov 13     | 2LBCF      | Ch. 26 §4           | Of the Church
Day 318 | Nov 14     | 2LBCF      | Ch. 26 §5           | Of the Church
Day 319 | Nov 15     | Catechism  | Q&A #92              | The Baptist Catechism (Keach's)
Day 320 | Nov 16     | 2LBCF      | Ch. 26 §6           | Of the Church
Day 321 | Nov 17     | 2LBCF      | Ch. 26 §7           | Of the Church
Day 322 | Nov 18     | Review     | Weekly review & reflection | Discuss this week's readings with a friend or family
Day 323 | Nov 19     | Catechism  | Q&A #93              | The Baptist Catechism (Keach's)
Day 324 | Nov 20     | 2LBCF      | Ch. 26 §8           | Of the Church
Day 325 | Nov 21     | 2LBCF      | Ch. 26 §9           | Of the Church
Day 326 | Nov 22     | Catechism  | Q&A #94              | The Baptist Catechism (Keach's)
Day 327 | Nov 23     | 2LBCF      | Ch. 26 §10          | Of the Church
Day 328 | Nov 24     | 2LBCF      | Ch. 26 §11          | Of the Church
Day 329 | Nov 25     | Review     | Weekly review & reflection | Pray through a doctrine you studied this week
Day 330 | Nov 26     | Catechism  | Q&A #95              | The Baptist Catechism (Keach's)
Day 331 | Nov 27     | 2LBCF      | Ch. 26 §12          | Of the Church
Day 332 | Nov 28     | 2LBCF      | Ch. 26 §13          | Of the Church
Day 333 | Nov 29     | Catechism  | Q&A #96              | The Baptist Catechism (Keach's)
Day 334 | Nov 30     | 2LBCF      | Ch. 26 §14          | Of the Church
Day 335 | Dec 1      | 2LBCF      | Ch. 26 §15          | Of the Church
Day 336 | Dec 2      | Review     | Weekly review & reflection | Read a related passage from the Psalms
Day 337 | Dec 3      | Catechism  | Q&A #97              | The Baptist Catechism (Keach's)
