Day,Date,Source,Reading,Detail
91,Apr 1,Review,Weekly review & reflection,Read a related passage from the Psalms
92,Apr 2,Catechism,Q&A #27,The Baptist Catechism (Keach's)
93,Apr 3,1LBCF,Article 27,Of Communion of Saints
94,Apr 4,2LBCF,Ch. 5 §3,Of Divine Providence
95,Apr 5,Catechism,Q&A #28,The Baptist Catechism (Keach's)
96,Apr 6,1LBCF,Article 28,Of Baptism and the Lord's Supper
97,Apr 7,2LBCF,Ch. 5 §4,Of Divine Providence
98,Apr 8,Review,Weekly review & reflection,Journal your thoughts on this week's theme
99,Apr 9,Catechism,Q&A #29,The Baptist Catechism (Keach's)
100,Apr 10,1LBCF,Article 29,Of Baptism
101,Apr 11,2LBCF,Ch. 5 §5,Of Divine Providence
102,Apr 12,Catechism,Q&A #30,The Baptist Catechism (Keach's)
103,Apr 13,1LBCF,Article 30,Of the Lord's Supper
104,Apr 14,2LBCF,Ch. 5 §6,Of Divine Providence
105,Apr 15,Review,Weekly review & reflection,Revisit your favourite reading from this week
106,Apr 16,Catechism,Q&A #31,The Baptist Catechism (Keach's)
107,Apr 17,1LBCF,Article 31,Of the State after Death
108,Apr 18,2LBCF,Ch. 5 §7,Of Divine Providence
109,Apr 19,Catechism,Q&A #32,The Baptist Catechism (Keach's)
110,Apr 20,1LBCF,Article 32,Of the Last Judgment
111,Apr 21,2LBCF,Ch. 6 §1,Of the Fall of Man
112,Apr 22,Review,Weekly review & reflection,Meditate on a Scripture tied to this week's doctrine
113,Apr 23,Catechism,Q&A #33,The Baptist Catechism (Keach's)
114,Apr 24,1LBCF,Article 33,Of Scripture's Perfection
115,Apr 25,2LBCF,Ch. 6 §2,Of the Fall of Man
116,Apr 26,Catechism,Q&A #34,The Baptist Catechism (Keach's)
117,Apr 27,1LBCF,Article 34,Of the Rule of Faith
118,Apr 28,2LBCF,Ch. 6 §3,Of the Fall of Man
119,Apr 29,Review,Weekly review & reflection,Write a short reflection — what stood out most?
120,Apr 30,Catechism,Q&A #35,The Baptist Catechism (Keach's)
121,May 1,1LBCF,Article 35,Of Judgment of Controversies
122,May 2,2LBCF,Ch. 6 §4,Of the Fall of Man
123,May 3,Catechism,Q&A #36,The Baptist Catechism (Keach's)
124,May 4,1LBCF,Article 36,Of Private Judgment
125,May 5,2LBCF,Ch. 6 §5,Of the Fall of Man
126,May 6,Review,Weekly review & reflection,Discuss this week's readings with a friend or family
127,May 7,Catechism,Q&A #37,The Baptist Catechism (Keach's)
128,May 8,1LBCF,Article 37,Of Creeds and Confessions
129,May 9,2LBCF,Ch. 6 §6,Of the Fall of Man
130,May 10,Catechism,Q&A #38,The Baptist Catechism (Keach's)
131,May 11,1LBCF,Article 38,Of the Church's Authority
132,May 12,2LBCF,Ch. 7 §1,Of God's Covenant
133,May 13,Review,Weekly review & reflection,Pray through a doctrine you studied this week
134,May 14,Catechism,Q&A #39,The Baptist Catechism (Keach's)
135,May 15,1LBCF,Article 39,Of Church Councils
136,May 16,2LBCF,Ch. 7 §2,Of God's Covenant
137,May 17,Catechism,Q&A #40,The Baptist Catechism (Keach's)
138,May 18,1LBCF,Article 40,Of the Visible Church
139,May 19,2LBCF,Ch. 7 §3,Of God's Covenant
140,May 20,Review,Weekly review & reflection,Read a related passage from the Psalms
141,May 21,Catechism,Q&A #41,The Baptist Catechism (Keach's)
142,May 22,1LBCF,Article 41,Of Officers of the Church
143,May 23,2LBCF,Ch. 8 §1,Of Christ the Mediator
144,May 24,Catechism,Q&A #42,The Baptist Catechism (Keach's)
145,May 25,1LBCF,Article 42,Of Church Censures
146,May 26,2LBCF,Ch. 8 §2,Of Christ the Mediator
147,May 27,Review,Weekly review & reflection,Journal your thoughts on this week's theme
148,May 28,Catechism,Q&A #43,The Baptist Catechism (Keach's)
149,May 29,1LBCF,Article 43,Of the Power of the Keys
150,May 30,2LBCF,Ch. 8 §3,Of Christ the Mediator
151,May 31,Catechism,Q&A #44,The Baptist Catechism (Keach's)
152,Jun 1,1LBCF,Article 44,Of Calling to Office
153,Jun 2,2LBCF,Ch. 8 §4,Of Christ the Mediator
154,Jun 3,Review,Weekly review & reflection,Revisit your favourite reading from this week
155,Jun 4,Catechism,Q&A #45,The Baptist Catechism (Keach's)
156,Jun 5,1LBCF,Article 45,Of the Sacraments
157,Jun 6,2LBCF,Ch. 8 §5,Of Christ the Mediator
158,Jun 7,Catechism,Q&A #46,The Baptist Catechism (Keach's)
159,Jun 8,1LBCF,Article 46,Of the Word and Sacraments
160,Jun 9,2LBCF,Ch. 8 §6,Of Christ the Mediator
161,Jun 10,Review,Weekly review & reflection,Meditate on a Scripture tied to this week's doctrine
162,Jun 11,Catechism,Q&A #47,The Baptist Catechism (Keach's)
163,Jun 12,1LBCF,Article 47,Of Infant Membership
164,Jun 13,2LBCF,Ch. 8 §7,Of Christ the Mediator
165,Jun 14,Catechism,Q&A #48,The Baptist Catechism (Keach's)
166,Jun 15,1LBCF,Article 48,Of Covenant Children
167,Jun 16,2LBCF,Ch. 8 §8,Of Christ the Mediator
168,Jun 17,Review,Weekly review & reflection,Write a short reflection — what stood out most?
169,Jun 18,Catechism,Q&A #49,The Baptist Catechism (Keach's)
170,Jun 19,1LBCF,Article 49,Of Church Discipline
171,Jun 20,2LBCF,Ch. 8 §9,Of Christ the Mediator
172,Jun 21,Catechism,Q&A #50,The Baptist Catechism (Keach's)
173,Jun 22,1LBCF,Article 50,Of Communion of Churches
174,Jun 23,2LBCF,Ch. 8 §10,Of Christ the Mediator
175,Jun 24,Review,Weekly review & reflection,Discuss this week's readings with a friend or family
176,Jun 25,Catechism,Q&A #51,The Baptist Catechism (Keach's)
177,Jun 26,1LBCF,Article 51,Of Civil Government and Religion
178,Jun 27,2LBCF,Ch. 9 §1,Of Free Will
179,Jun 28,Catechism,Q&A #52,The Baptist Catechism (Keach's)
180,Jun 29,1LBCF,Article 52,Of the Final State
181,Jun 30,2LBCF,Ch. 9 §2,Of Free Will
182,Jul 1,Review,Weekly review & reflection,Pray through a doctrine you studied this week
183,Jul 2,Catechism,Q&A #53,The Baptist Catechism (Keach's)
184,Jul 3,2LBCF,Ch. 9 §3,Of Free Will
185,Jul 4,2LBCF,Ch. 9 §4,Of Free Will
186,Jul 5,Catechism,Q&A #54,The Baptist Catechism (Keach's)
187,Jul 6,2LBCF,Ch. 9 §5,Of Free Will
188,Jul 7,2LBCF,Ch. 10 §1,Of Effectual Calling
189,Jul 8,Review,Weekly review & reflection,Read a related passage from the Psalms
190,Jul 9,Catechism,Q&A #55,The Baptist Catechism (Keach's)
191,Jul 10,2LBCF,Ch. 10 §2,Of Effectual Calling
192,Jul 11,2LBCF,Ch. 10 §3,Of Effectual Calling
193,Jul 12,Catechism,Q&A #56,The Baptist Catechism (Keach's)
194,Jul 13,2LBCF,Ch. 10 §4,Of Effectual Calling
195,Jul 14,2LBCF,Ch. 11 §1,Of Justification
196,Jul 15,Review,Weekly review & reflection,Journal your thoughts on this week's theme
197,Jul 16,Catechism,Q&A #57,The Baptist Catechism (Keach's)
198,Jul 17,2LBCF,Ch. 11 §2,Of Justification
199,Jul 18,2LBCF,Ch. 11 §3,Of Justification
200,Jul 19,Catechism,Q&A #58,The Baptist Catechism (Keach's)
201,Jul 20,2LBCF,Ch. 11 §4,Of Justification
202,Jul 21,2LBCF,Ch. 11 §5,Of Justification
203,Jul 22,Review,Weekly review & reflection,Revisit your favourite reading from this week
204,Jul 23,Catechism,Q&A #59,The Baptist Catechism (Keach's)
205,Jul 24,2LBCF,Ch. 12 §1,Of Adoption
206,Jul 25,2LBCF,Ch. 13 §1,Of Sanctification
207,Jul 26,Catechism,Q&A #60,The Baptist Catechism (Keach's)
208,Jul 27,2LBCF,Ch. 13 §2,Of Sanctification
209,Jul 28,2LBCF,Ch. 13 §3,Of Sanctification
210,Jul 29,Review,Weekly review & reflection,Meditate on a Scripture tied to this week's doctrine
211,Jul 30,Catechism,Q&A #61,The Baptist Catechism (Keach's)
212,Jul 31,2LBCF,Ch. 14 §1,Of Saving Faith
213,Aug 1,2LBCF,Ch. 14 §2,Of Saving Faith
214,Aug 2,Catechism,Q&A #62,The Baptist Catechism (Keach's)
215,Aug 3,2LBCF,Ch. 14 §3,Of Saving Faith
216,Aug 4,2LBCF,Ch. 15 §1,Of Repentance unto Life
217,Aug 5,Review,Weekly review & reflection,Write a short reflection — what stood out most?
218,Aug 6,Catechism,Q&A #63,The Baptist Catechism (Keach's)
219,Aug 7,2LBCF,Ch. 15 §2,Of Repentance unto Life
220,Aug 8,2LBCF,Ch. 15 §3,Of Repentance unto Life
221,Aug 9,Catechism,Q&A #64,The Baptist Catechism (Keach's)
222,Aug 10,2LBCF,Ch. 15 §4,Of Repentance unto Life
223,Aug 11,2LBCF,Ch. 15 §5,Of Repentance unto Life
224,Aug 12,Review,Weekly review & reflection,Discuss this week's readings with a friend or family
225,Aug 13,Catechism,Q&A #65,The Baptist Catechism (Keach's)
226,Aug 14,2LBCF,Ch. 15 §6,Of Repentance unto Life
227,Aug 15,2LBCF,Ch. 16 §1,Of Good Works
228,Aug 16,Catechism,Q&A #66,The Baptist Catechism (Keach's)
229,Aug 17,2LBCF,Ch. 16 §2,Of Good Works
230,Aug 18,2LBCF,Ch. 16 §3,Of Good Works
231,Aug 19,Review,Weekly review & reflection,Pray through a doctrine you studied this week
232,Aug 20,Catechism,Q&A #67,The Baptist Catechism (Keach's)
233,Aug 21,2LBCF,Ch. 16 §4,Of Good Works
234,Aug 22,2LBCF,Ch. 16 §5,Of Good Works
235,Aug 23,Catechism,Q&A #68,The Baptist Catechism (Keach's)
236,Aug 24,2LBCF,Ch. 16 §6,Of Good Works
237,Aug 25,2LBCF,Ch. 16 §7,Of Good Works
238,Aug 26,Review,Weekly review & reflection,Read a related passage from the Psalms
239,Aug 27,Catechism,Q&A #69,The Baptist Catechism (Keach's)
240,Aug 28,2LBCF,Ch. 17 §1,Of Perseverance of the Saints
241,Aug 29,2LBCF,Ch. 17 §2,Of Perseverance of the Saints
242,Aug 30,Catechism,Q&A #70,The Baptist Catechism (Keach's)
243,Aug 31,2LBCF,Ch. 17 §3,Of Perseverance of the Saints
244,Sep 1,2LBCF,Ch. 18 §1,Of Assurance of Grace
245,Sep 2,Review,Weekly review & reflection,Journal your thoughts on this week's theme
246,Sep 3,Catechism,Q&A #71,The Baptist Catechism (Keach's)
247,Sep 4,2LBCF,Ch. 18 §2,Of Assurance of Grace
248,Sep 5,2LBCF,Ch. 18 §3,Of Assurance of Grace
249,Sep 6,Catechism,Q&A #72,The Baptist Catechism (Keach's)
250,Sep 7,2LBCF,Ch. 18 §4,Of Assurance of Grace
251,Sep 8,2LBCF,Ch. 19 §1,Of the Law of God
252,Sep 9,Review,Weekly review & reflection,Revisit your favourite reading from this week
253,Sep 10,Catechism,Q&A #73,The Baptist Catechism (Keach's)
254,Sep 11,2LBCF,Ch. 19 §2,Of the Law of God
255,Sep 12,2LBCF,Ch. 19 §3,Of the Law of God
256,Sep 13,Catechism,Q&A #74,The Baptist Catechism (Keach's)
257,Sep 14,2LBCF,Ch. 19 §4,Of the Law of God
258,Sep 15,2LBCF,Ch. 19 §5,Of the Law of God
259,Sep 16,Review,Weekly review & reflection,Meditate on a Scripture tied to this week's doctrine
260,Sep 17,Catechism,Q&A #75,The Baptist Catechism (Keach's)
261,Sep 18,2LBCF,Ch. 19 §6,Of the Law of God
262,Sep 19,2LBCF,Ch. 19 §7,Of the Law of God
263,Sep 20,Catechism,Q&A #76,The Baptist Catechism (Keach's)
264,Sep 21,2LBCF,Ch. 20 §1,Of the Gospel
265,Sep 22,2LBCF,Ch. 20 §2,Of the Gospel
266,Sep 23,Review,Weekly review & reflection,Write a short reflection — what stood out most?
267,Sep 24,Catechism,Q&A #77,The Baptist Catechism (Keach's)
268,Sep 25,2LBCF,Ch. 20 §3,Of the Gospel
269,Sep 26,2LBCF,Ch. 20 §4,Of the Gospel
270,Sep 27,Catechism,Q&A #78,The Baptist Catechism (Keach's)
271,Sep 28,2LBCF,Ch. 21 §1,Of Christian Liberty
272,Sep 29,2LBCF,Ch. 21 §2,Of Christian Liberty
273,Sep 30,Review,Weekly review & reflection,Discuss this week's readings with a friend or family
274,Oct 1,Catechism,Q&A #79,The Baptist Catechism (Keach's)
275,Oct 2,2LBCF,Ch. 21 §3,Of Christian Liberty
276,Oct 3,2LBCF,Ch. 22 §1,Of Religious Worship & Sabbath
277,Oct 4,Catechism,Q&A #80,The Baptist Catechism (Keach's)
278,Oct 5,2LBCF,Ch. 22 §2,Of Religious Worship & Sabbath
279,Oct 6,2LBCF,Ch. 22 §3,Of Religious Worship & Sabbath
280,Oct 7,Review,Weekly review & reflection,Pray through a doctrine you studied this week
281,Oct 8,Catechism,Q&A #81,The Baptist Catechism (Keach's)
282,Oct 9,2LBCF,Ch. 22 §4,Of Religious Worship & Sabbath
283,Oct 10,2LBCF,Ch. 22 §5,Of Religious Worship & Sabbath
284,Oct 11,Catechism,Q&A #82,The Baptist Catechism (Keach's)
285,Oct 12,2LBCF,Ch. 22 §6,Of Religious Worship & Sabbath
286,Oct 13,2LBCF,Ch. 22 §7,Of Religious Worship & Sabbath
287,Oct 14,Review,Weekly review & reflection,Read a related passage from the Psalms
288,Oct 15,Catechism,Q&A #83,The Baptist Catechism (Keach's)
289,Oct 16,2LBCF,Ch. 22 §8,Of Religious Worship & Sabbath
290,Oct 17,2LBCF,Ch. 23 §1,Of Lawful Oaths and Vows
291,Oct 18,Catechism,Q&A #84,The Baptist Catechism (Keach's)
292,Oct 19,2LBCF,Ch. 23 §2,Of Lawful Oaths and Vows
293,Oct 20,2LBCF,Ch. 23 §3,Of Lawful Oaths and Vows
294,Oct 21,Review,Weekly review & reflection,Journal your thoughts on this week's theme
295,Oct 22,Catechism,Q&A #85,The Baptist Catechism (Keach's)
296,Oct 23,2LBCF,Ch. 23 §4,Of Lawful Oaths and Vows
297,Oct 24,2LBCF,Ch. 23 §5,Of Lawful Oaths and Vows
298,Oct 25,Catechism,Q&A #86,The Baptist Catechism (Keach's)
299,Oct 26,2LBCF,Ch. 24 §1,Of the Civil Magistrate
300,Oct 27,2LBCF,Ch. 24 §2,Of the Civil Magistrate
301,Oct 28,Review,Weekly review & reflection,Revisit your favourite reading from this week
302,Oct 29,Catechism,Q&A #87,The Baptist Catechism (Keach's)
303,Oct 30,2LBCF,Ch. 24 §3,Of the Civil Magistrate
304,Oct 31,2LBCF,Ch. 24 §4,Of the Civil Magistrate
305,Nov 1,Catechism,Q&A #88,The Baptist Catechism (Keach's)
306,Nov 2,2LBCF,Ch. 25 §1,Of Marriage
307,Nov 3,2LBCF,Ch. 25 §2,Of Marriage
308,Nov 4,Review,Weekly review & reflection,Meditate on a Scripture tied to this week's doctrine
309,Nov 5,Catechism,Q&A #89,The Baptist Catechism (Keach's)
310,Nov 6,2LBCF,Ch. 25 §3,Of Marriage
311,Nov 7,2LBCF,Ch. 26 §1,Of the Church
312,Nov 8,Catechism,Q&A #90,The Baptist Catechism (Keach's)
313,Nov 9,2LBCF,Ch. 26 §2,Of the Church
314,Nov 10,2LBCF,Ch. 26 §3,Of the Church
315,Nov 11,Review,Weekly review & reflection,Write a short reflection — what stood out most?
316,Nov 12,Catechism,Q&A #91,The Baptist Catechism (Keach's)
317,Nov 13,2LBCF,Ch. 26 §4,Of the Church
318,Nov 14,2LBCF,Ch. 26 §5,Of the Church
319,Nov 15,Catechism,Q&A #92,The Baptist Catechism (Keach's)
320,Nov 16,2LBCF,Ch. 26 §6,Of the Church
321,Nov 17,2LBCF,Ch. 26 §7,Of the Church
322,Nov 18,Review,Weekly review & reflection,Discuss this week's readings with a friend or family
323,Nov 19,Catechism,Q&A #93,The Baptist Catechism (Keach's)
324,Nov 20,2LBCF,Ch. 26 §8,Of the Church
325,Nov 21,2LBCF,Ch. 26 §9,Of the Church
326,Nov 22,Catechism,Q&A #94,The Baptist Catechism (Keach's)
327,Nov 23,2LBCF,Ch. 26 §10,Of the Church
328,Nov 24,2LBCF,Ch. 26 §11,Of the Church
329,Nov 25,Review,Weekly review & reflection,Pray through a doctrine you studied this week
330,Nov 26,Catechism,Q&A #95,The Baptist Catechism (Keach's)
331,Nov 27,2LBCF,Ch. 26 §12,Of the Church
332,Nov 28,2LBCF,Ch. 26 §13,Of the Church
333,Nov 29,Catechism,Q&A #96,The Baptist Catechism (Keach's)
334,Nov 30,2LBCF,Ch. 26 §14,Of the Church
335,Dec 1,2LBCF,Ch. 26 §15,Of the Church
336,Dec 2,Review,Weekly review & reflection,Read a related passage from the Psalms
337,Dec 3,Catechism,Q&A #97,The Baptist Catechism (Keach's)
338,Dec 4,2LBCF,Ch. 27 §1,Of Communion of Saints
339,Dec 5,2LBCF,Ch. 27 §2,Of Communion of Saints
340,Dec 6,Catechism,Q&A #98,The Baptist Catechism (Keach's)
341,Dec 7,2LBCF,Ch. 28 §1,Of Baptism and the Lord's Supper
342,Dec 8,2LBCF,Ch. 28 §2,Of Baptism and the Lord's Supper
343,Dec 9,Review,Weekly review & reflection,Journal your thoughts on this week's theme
344,Dec 10,Catechism,Q&A #99,The Baptist Catechism (Keach's)
345,Dec 11,2LBCF,Ch. 28 §3,Of Baptism and the Lord's Supper
346,Dec 12,2LBCF,Ch. 28 §4,Of Baptism and the Lord's Supper
347,Dec 13,Catechism,Q&A #100,The Baptist Catechism (Keach's)
348,Dec 14,2LBCF,Ch. 29 §1,Of Baptism
349,Dec 15,2LBCF,Ch. 29 §2,Of Baptism
350,Dec 16,Review,Weekly review & reflection,Revisit your favourite reading from this week
351,Dec 17,Catechism,Q&A #101,The Baptist Catechism (Keach's)
352,Dec 18,2LBCF,Ch. 29 §3,Of Baptism
353,Dec 19,2LBCF,Ch. 29 §4,Of Baptism
354,Dec 20,Catechism,Q&A #102,The Baptist Catechism (Keach's)
355,Dec 21,2LBCF,Ch. 30 §1,Of the Lord's Supper
356,Dec 22,2LBCF,Ch. 30 §2,Of the Lord's Supper
357,Dec 23,Review,Weekly review & reflection,Meditate on a Scripture tied to this week's doctrine
358,Dec 24,Catechism,Q&A #103,The Baptist Catechism (Keach's)
359,Dec 25,2LBCF,Ch. 30 §3,Of the Lord's Supper
360,Dec 26,2LBCF,Ch. 30 §4,Of the Lord's Supper
361,Dec 27,Catechism,Q&A #104,The Baptist Catechism (Keach's)
362,Dec 28,2LBCF,Ch. 30 §5,Of the Lord's Supper
363,Dec 29,2LBCF,Ch. 30 §6,Of the Lord's Supper
364,Dec 30,Review,Weekly review & reflection,Write a short reflection — what stood out most?
365,Dec 31,Catechism,Q&A #105,The Baptist Catechism (Keach's)

